titel,authorLabel,date,langLabel,publisherLabel,genres,part_of_a_series
A Century of American Medicine,Edward Hammond Clarke,1876-01-01T00:00:00Z,English,Henry C. Lea,non-fiction,N
Earthbound,Richard Matheson,1982-01-01T00:00:00Z,English,,horror literature,N
Flush,Carl Hiaasen,2005-09-13T00:00:00Z,English,Alfred A. Knopf,fiction,N
The Elephant is White,S. J. Simon,1939-01-01T00:00:00Z,English,,comedy,N
Five Go Off to Camp,Enid Blyton,1948-01-01T00:00:00Z,English,Hodder & Stoughton,"mystery fiction, adventure fiction",Y
Works of Maria Edgeworth,Maria Edgeworth,1825-01-01T00:00:00Z,English,Eliakim Littell,editorial collection,N
Gramsci is dead,Richard J. F. Day,2005-09-01T00:00:00Z,English,,non-fiction,N
Red Strangers,Elspeth Huxley,1939-01-01T00:00:00Z,English,Chatto & Windus,historical fiction,N
The Mystery of the Aztec Warrior,Franklin W. Dixon,1964-01-01T00:00:00Z,English,Grosset & Dunlap,detective fiction,Y
The Fatal Three,Mary Elizabeth Braddon,1888-01-01T00:00:00Z,English,,sensation fiction,N
Game Theory: A Multi-Leveled Approach,Hans Peters,2008-01-01T00:00:00Z,English,Springer Science+Business Media,"textbook, science",N
Isaac Asimov Presents The Great SF Stories 8,Leigh Brackett,1982-01-01T00:00:00Z,English,DAW Books,science fiction,Y
Makes Me Wanna Holler,Nathan McCall,1994-01-01T00:00:00Z,English,Random House,autobiography,N
Violin,Anne Rice,1997-01-01T00:00:00Z,English,Alfred A. Knopf,horror fiction,N
Kodak,Patti Smith,1972-01-01T00:00:00Z,English,,poetry,N
Redeployment,Phil Klay,2014-03-04T00:00:00Z,English,Penguin Group,military fiction,N
Mr. Monk Goes to the Firehouse,Lee Goldberg,2006-01-03T00:00:00Z,English,New American Library,mystery fiction,Y
Where'd You Go Bernadette,Maria Semple,2012-08-01T00:00:00Z,English,,epistolary novel,N
Tales from the Expat Harem,Anastasia M. Ashman,2006-01-01T00:00:00Z,English,Perseus Books Group,non-fiction,N
To Play the Fool,Laurie R. King,1995-01-01T00:00:00Z,English,St. Martin's Press,detective fiction,N
A History of Heavy Metal,Andrew O'Neill,2017-01-01T00:00:00Z,English,,music history,N
Smoke Bitten,Patricia Briggs,2020-03-01T00:00:00Z,English,Ace Books,urban fantasy,Y
The Perilous Gard,Elizabeth Marie Pope,1974-01-01T00:00:00Z,English,Houghton Mifflin Harcourt,fantasy,N
The Periodic Table,Simon Basher,2007-05-23T00:00:00Z,English,Macmillan Inc.,non-fiction,N
Earth (The Book),Jon Stewart,2010-09-01T00:00:00Z,English,,humour,N
My Boring Ass Life: The Uncomfortably Candid Diary of Kevin Smith,Kevin Smith,2007-09-25T00:00:00Z,English,Titan Books,comedy,N
The Halloween Tree,Ray Bradbury,1972-01-01T00:00:00Z,English,Alfred A. Knopf,fantasy,N
Soros: The Life and Times of a Messianic Billionaire,Michael T. Kaufman,2002-01-01T00:00:00Z,English,Random House,non-fiction,N
The Rosie Project,Graeme Simsion,2013-01-30T00:00:00Z,English,Q6628342,"romantic fiction, popular literature",N
The Devil's Thief,Lisa Maxwell,2018-01-01T00:00:00Z,English,,fantasy,Y
This Alien Shore,Celia S. Friedman,1998-01-01T00:00:00Z,English,,science fiction,N
The Manhattan Hunt Club,John Saul,2001-07-31T00:00:00Z,English,Ballantine Books,horror fiction,N
Limits to growth,Donella Meadows,1972-01-01T00:00:00Z,English,,"nature, economics, business, non-fiction",Y
Carrying the Fire: An Astronaut's Journeys,Charles Lindbergh,1974-01-01T00:00:00Z,English,Rowman & Littlefield,autobiography,N
Second Variety,Philip K. Dick,1991-01-01T00:00:00Z,English,,science fiction,N
Nothing to Lose,Lee Child,2008-03-24T00:00:00Z,English,Bantam Press,thriller,Y
Death Is a Lonely Business,Ray Bradbury,1985-10-01T00:00:00Z,English,Alfred A. Knopf,mystery fiction,N
Enemy Coast Ahead,Guy Gibson,1946-01-01T00:00:00Z,English,Pan Books,autobiography,N
The Tropic of Serpents,Marie Brennan,2014-01-01T00:00:00Z,English,,fantasy,Y
The Ring,Danielle Steel,1980-01-01T00:00:00Z,English,,romantic fiction,N
"Edgar Allan Poe, his life, letters, and opinions",John Henry Ingram,1880-01-01T00:00:00Z,English,,biography,N
Memoirs of a Woman of Pleasure,John Cleland,1748-01-01T00:00:00Z,English,,"LGBT literature, erotica",N
You Belong to Me,Mary Higgins Clark,1998-01-01T00:00:00Z,English,,crime fiction,N
Pathfinder,Orson Scott Card,2010-01-01T00:00:00Z,English,Simon & Schuster,science fiction,Y
The Asimov Chronicles: Fifty Years of Isaac Asimov,Isaac Asimov,1989-05-01T00:00:00Z,English,,science fiction,N
The Castle of Iron,L. Sprague de Camp,1941-01-01T00:00:00Z,English,Gnome Press,fantasy,Y
"Dixie Lullaby: A Story of Music, Race and New Beginnings in a New South",Mark Kemp,2004-01-01T00:00:00Z,English,,non-fiction,N
Sympathy for the Devil,Howard Marks,2011-01-01T00:00:00Z,English,,crime fiction,N
The Vault,Ruth Rendell,2011-01-01T00:00:00Z,English,Hutchinson,"crime fiction, mystery fiction",Y
"Official History of Australian Peacekeeping, Humanitarian and Post-Cold War Operations",David Horner,2011-01-01T00:00:00Z,English,Cambridge University Press,"Official history, military history",N
Songs of Innocence and of Experience,William Blake,1794-01-01T00:00:00Z,English,,"poetry collection, poetry",N
Frankenstein,Mary Shelley,1818-01-01T00:00:00Z,English,,"body horror fiction, gothic fiction, epistolary novel, fantasy, science fiction",N
Aru Shah and the Tree of Wishes,Roshani Chokshi,2020-04-07T00:00:00Z,English,,fantasy novel,Y
The Electric Kool-Aid Acid Test,Tom Wolfe,1975-01-01T00:00:00Z,English,"Farrar, Straus and Giroux",non-fiction,N
The House of Breath,William Goyen,1950-01-01T00:00:00Z,English,Random House,autobiography,N
Border Guards,Greg Egan,1999-01-01T00:00:00Z,English,,novelette,N
Landslide,Desmond Bagley,1967-01-01T00:00:00Z,English,"William Collins, Sons",thriller,N
Landscape for a Good Woman,Carolyn Steedman,1987-10-01T00:00:00Z,English,,feminism,N
Now and Forever,Danielle Steel,1978-02-01T00:00:00Z,English,Dell Publishing,romantic fiction,N
Catch the Saint,Leslie Charteris,1975-01-01T00:00:00Z,English,The Crime Club,"novella, mystery fiction",Y
1634: The Baltic War,Eric Flint,2008-11-01T00:00:00Z,English,Baen Books,science fiction,Y
Giant of World's End,Lin Carter,1969-01-01T00:00:00Z,English,Belmont Books,fantasy,N
Nimrod Hunt,Charles Sheffield,1986-01-01T00:00:00Z,English,,science fiction,N
The Revenant,Michael Punke,2002-01-01T00:00:00Z,English,,thriller,N
The Kraken Project,Douglas Preston,2014-05-13T00:00:00Z,English,Tor Books,science fiction,Y
Carrie,Stephen King,1974-04-05T00:00:00Z,English,Doubleday,"horror fiction, epistolary novel, thriller",N
Fletch,Gregory Mcdonald,1974-01-01T00:00:00Z,English,Bobbs-Merrill Company,"crime fiction, comedy",N
Marie,H. Rider Haggard,1912-01-01T00:00:00Z,English,Cassell Illustrated,"adventure fiction, fantasy",N
The Quickening Maze,Adam Foulds,2009-01-01T00:00:00Z,English,Jonathan Cape,historical fiction,N
The Last of the Jedi: The Desperate Mission,Jude Watson,2005-04-02T00:00:00Z,English,Scholastic Corporation,science fiction,Y
Blood of Amber,Roger Zelazny,1986-01-01T00:00:00Z,English,Arbor House,fantasy,Y
Gather Together in My Name,Maya Angelou,1974-01-01T00:00:00Z,English,Random House,autobiography,N
Into the Sun & Other Stories,Robert Duncan Milne,1980-01-01T00:00:00Z,English,"Donald M. Grant, Publisher",science fiction,N
Ayuamarca: Procession of the Dead,Darren O'Shaughnessy,1999-02-01T00:00:00Z,English,HarperCollins,horror fiction,Y
The Mausoleum Murder,Katherine Roberts,2003-12-01T00:00:00Z,English,HarperCollins,fantasy,Y
The Principles of State and Government in Islam,Muhammad Asad,1961-01-01T00:00:00Z,English,,non-fiction,N
The Crocodile Bird,Ruth Rendell,1993-09-02T00:00:00Z,English,Crown Publishing Group,"mystery fiction, crime fiction",N
Robert Kirkman's The Walking Dead: Invasion,Jay Bonansinga,2015-10-06T00:00:00Z,English,Thomas Dunne Books,post-apocalyptic fiction,N
The Confessions of Nat Turner,William Styron,1967-01-01T00:00:00Z,English,Random House,historical fiction,N
The Man Within,Graham Greene,1929-01-01T00:00:00Z,English,Heinemann,historical fiction,N
Solacers,Arion Golmakani,2012-01-01T00:00:00Z,English,,memoir,N
The Wages of Destruction,Adam Tooze,2006-01-01T00:00:00Z,English,Penguin Books,historical non-fiction,N
Northanger Abbey,Jane Austen,1817-12-01T00:00:00Z,English,John Murray,romantic fiction,N
The Lost Gallows,John Dickson Carr,1931-01-01T00:00:00Z,English,,detective fiction,N
The Lottery and Other Stories,Shirley Jackson,1949-01-01T00:00:00Z,English,"Farrar, Straus and Giroux",horror literature,N
While I'm Dead Feed the Dog,Ric Browde,2000-01-01T00:00:00Z,English,HarperCollins,comedy,N
Fly Away Peter,David Malouf,1982-01-01T00:00:00Z,English,George Braziller,military fiction,N
