titel,authorLabel,date,langLabel,publisherLabel,genres,part_of_a_series
Burn,James Patrick Kelly,2005-01-01T00:00:00Z,English,,science fiction,N
The President of Vice,The Onion,2013-01-15T00:00:00Z,English,Brilliance Audio,"parody, autobiography",N
The Guide,R. K. Narayan,1958-01-01T00:00:00Z,English,Methuen Publishing,"philosophical fiction, fiction",N
The Construction of Social Reality,John Searle,1995-01-01T00:00:00Z,English,,"cognitive science, philosophy of mind",N
Wheelers,Ian Stewart,2000-01-01T00:00:00Z,English,,science fiction,N
Our Lady of the Open Road,Sarah Pinsker,2015-06-01T00:00:00Z,English,,science fiction,N
Lord Darcy,Randall Garrett,1983-01-01T00:00:00Z,English,Doubleday,"fantasy literature, alternate history literature",Y
The Psychedelic Journey of Marlene Dobkin de Rios,Marlene Dobkin de Rios,2009-01-01T00:00:00Z,English,,memoir,N
The Travelling Grave and Other Stories,L. P. Hartley,1948-01-01T00:00:00Z,English,Arkham House,"horror literature, fantasy",N
Body Alchemy: Transsexual Portraits,Loren Cameron,1996-01-01T00:00:00Z,English,Cleis Press,"LGBT literature, autobiography",N
Respect for Nature: A Theory of Environmental Ethics,Paul Taylor,1986-01-01T00:00:00Z,English,Princeton University Press,literary non-fiction,N
Sten Adventures Book 6: The Return of the Emperor,Allan Cole,1990-01-01T00:00:00Z,English,Del Rey Books,science fiction,Y
Roll Me Up and Smoke Me When I Die: Musings from the Road,Willie Nelson,2012-11-13T00:00:00Z,English,,autobiography,N
Stolen,Kelley Armstrong,2003-01-01T00:00:00Z,English,Viking Press,"romantic fiction, fantasy literature",Y
The Old Glory,Robert Lowell,1965-01-01T00:00:00Z,English,"Farrar, Straus and Giroux",drama,N
Message from Nam,Danielle Steel,1990-01-01T00:00:00Z,English,Dell Publishing,romantic fiction,N
All the Devils Are Here,Bethany McLean,2010-11-16T00:00:00Z,English,Penguin Group,non-fiction,N
I Capture the Castle,Dodie Smith,1948-01-01T00:00:00Z,English,William Heinemann,"romantic fiction, Bildungsroman, comedy",N
The Lady in the Morgue,Jonathan Latimer,1936-01-01T00:00:00Z,English,Doubleday,crime fiction,N
Jirel of Joiry,Catherine Lucile Moore,1969-01-01T00:00:00Z,English,Hachette Book Group,fantasy,N
Marilyn: Norma Jean,Gloria Steinem,1988-01-01T00:00:00Z,English,New American Library,non-fiction,N
Rat Girl,Kristin Hersh,2010-01-01T00:00:00Z,English,Penguin Books,autobiography,N
Hearts Grown Brutal,Roger Cohen,1998-08-25T00:00:00Z,English,Random House,non-fiction,N
The Fog,James Herbert,1975-01-01T00:00:00Z,English,New English Library,"horror literature, science fiction",N
Off the Road,Carolyn Cassady,1990-01-01T00:00:00Z,English,Black Spring Press,autobiography,N
The Man Who Could Not Shudder,John Dickson Carr,1940-01-01T00:00:00Z,English,Harper,crime fiction,Y
The Forgotten Beasts of Eld,Patricia A. McKillip,1974-01-01T00:00:00Z,English,Atheneum Books,fantasy,N
Theodosia and the Serpents of Chaos,R. L. LaFevers,2007-01-01T00:00:00Z,English,Houghton Mifflin Harcourt,fantasy,N
"Slaphappy: Pride, Prejudice, and Professional Wrestling",Thomas C. Hackett,2006-01-01T00:00:00Z,English,HarperCollins,non-fiction,N
The Stoneware Monkey,R. Austin Freeman,1938-01-01T00:00:00Z,English,,crime fiction,N
Veniss Underground,Jeff VanderMeer,2003-04-01T00:00:00Z,English,Night Shade Books,"horror literature, science fiction",N
From Democracy to Freedom,CrimethInc.,2017-01-01T00:00:00Z,English,,essay,N
The World Made Straight,Ron Rash,2006-04-01T00:00:00Z,English,Henry Holt and Company,"Southern Gothic, Bildungsroman",N
Friends with Boys,Faith Erin Hicks,2012-01-01T00:00:00Z,English,,graphic novel,N
Life Expectancy,Dean Koontz,2004-01-01T00:00:00Z,English,Bantam Books,"psychological novel, suspense",N
Cross My Heart,James Patterson,2013-11-25T00:00:00Z,English,,crime fiction,Y
The Keys to the Street,Ruth Rendell,1996-01-01T00:00:00Z,English,Crown Publishing Group,"mystery fiction, crime fiction, thriller",N
Winter's Tale,Mark Helprin,1983-10-20T00:00:00Z,English,,fantasy,N
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,1992-05-01T00:00:00Z,English,,non-fiction,N
Sten Adventures Book 2: The Wolf Worlds,Chris Bunch,1984-01-01T00:00:00Z,English,Orbit Books,science fiction,Y
The Kill List,Frederick Forsyth,2013-08-20T00:00:00Z,English,,thriller,N
To Reign in Hell: The Exile of Khan Noonien Singh,Greg Cox,2006-05-23T00:00:00Z,English,Pocket Books,science fiction,N
The Signifying Monkey,"Henry Louis Gates, Jr.",1988-01-01T00:00:00Z,English,Oxford University Press,non-fiction,N
Burning Daylight,Jack London,1910-01-01T00:00:00Z,English,Macmillan Inc.,"adventure fiction, historical fiction",N
The Blade of Conan,L. Sprague de Camp,1979-01-01T00:00:00Z,English,Ace Books,essay,N
The Age of Wonder,Richard Holmes,2008-01-01T00:00:00Z,English,HarperCollins,non-fiction,N
Built for Trouble,Ralph Salaway,1958-01-01T00:00:00Z,English,Dell Inc.,crime fiction,N
Couple Travel Dreams,JoVi Travel,2020-03-05T00:00:00Z,English,,guide book,N
Time to Say Hello,Katherine Jenkins,2008-01-01T00:00:00Z,English,Orion Publishing Group,autobiography,N
Ziyara Yearbook,Salih Irfani,2000-01-01T00:00:00Z,English,Ziyara Network,"travel book, guide book",N
Endless Night,Agatha Christie,1967-10-30T00:00:00Z,English,Collins Crime Club,"crime fiction, detective fiction",N
If Israel Lost the War,Robert Littell,1969-01-01T00:00:00Z,English,G. P. Putnam's Sons,alternate history,N
Firebird,Mercedes Lackey,1996-01-01T00:00:00Z,English,DAW Books,fantasy,N
El Wendigo,Algernon Blackwood,1910-01-01T00:00:00Z,English,,"weird fiction, horror literature",N
The Diggers Rest Hotel,Geoffrey McGeachin,2010-01-01T00:00:00Z,English,Penguin Group,crime fiction,N
Deepwater Black,Ken Catran,1995-01-01T00:00:00Z,English,,science fiction,N
The Adventure of the Solitary Cyclist,Arthur Conan Doyle,1903-01-01T00:00:00Z,English,,"crime fiction, detective fiction",Y
My Inventions: The Autobiography of Nikola Tesla,Ben Johnston,1919-01-01T00:00:00Z,English,Zagreb,autobiography,N
A Peculiar Peril,Jeff VanderMeer,2020-01-01T00:00:00Z,English,,fantasy novel,N
Firethorn,Sarah Micklem,2004-05-25T00:00:00Z,English,Charles Scribner's Sons,fantasy,N
Logisch-Philosophische Abhandlung,Ludwig Wittgenstein,1921-01-01T00:00:00Z,English,,"philosophical literature, essay",N
Officer Down,Theresa Schwegel,2005-08-11T00:00:00Z,English,St. Martin's Press,crime fiction,N
The Ten Teacups,John Dickson Carr,1937-01-01T00:00:00Z,English,Heinemann,"mystery fiction, crime fiction, detective fiction",Y
The Long Night of the Grave,Charles L. Grant,1986-01-01T00:00:00Z,English,"Donald M. Grant, Publisher",horror fiction,N
Snakecharm,Amelia Atwater-Rhodes,2004-09-01T00:00:00Z,English,Dell Publishing,fantasy,Y
Women Writing About Money: Women's Fiction in England,Eddie Copeland,1995-01-01T00:00:00Z,English,Cambridge University Press,non-fiction,N
The Straight Mind and Other Essays,Monique Wittig,1992-01-01T00:00:00Z,English,Q3579218,LGBT literature,N
The Straight Mind and Other Essays,Monique Wittig,1992-01-01T00:00:00Z,English,Q3579239,LGBT literature,N
White Night,Jim Butcher,2007-04-03T00:00:00Z,English,Roc Books,"fantasy, mystery fiction",Y
Veil's Visit: a Taste of Hap and Leonard,Joe R. Lansdale,1999-01-01T00:00:00Z,English,Subterranean Press,crime fiction,N
American Fantastic Tales,Donald Wandrei,2009-01-01T00:00:00Z,English,Library of America,fantasy,N
"Biographical Memoir, of John C. Otto, M. D., Late Vice President of the College of Physicians, Read Before the College by Appointment, March 4th, 1845",Isaac Parrish,1845-01-01T00:00:00Z,English,College of Physicians of Philadelphia,biography,N
Barbarians Led by Bill Gates,Marlin Eller,1998-01-01T00:00:00Z,English,,non-fiction,N
Iron Shadows in the Moon,Robert E. Howard,1934-04-01T00:00:00Z,English,,sword and sorcery,N
Small Changes,Hal Clement,1969-01-01T00:00:00Z,English,Doubleday,science fiction,N
Anarchism and Other Essays,Emma Goldman,1910-01-01T00:00:00Z,English,Mother Earth,essay,N
Disney Animation: The Illusion of Life,Frank Thomas,1981-01-01T00:00:00Z,English,,literary non-fiction,N
Queen Victoria: Demon Hunter,A. E. Moorat,2009-01-01T00:00:00Z,English,Hodder & Stoughton,comedy,N
Thongor of Lemuria,Lin Carter,1966-01-01T00:00:00Z,English,Ace Books,fantasy,N
The Last of the Jedi: Death on Naboo,Jude Watson,2006-04-01T00:00:00Z,English,Scholastic Corporation,science fiction,Y
The World Beyond the Hill,Cory Panshin,1989-08-01T00:00:00Z,English,Jeremy P. Tarcher Inc.,literary criticism,N
Act of Love,Joe R. Lansdale,1981-01-01T00:00:00Z,English,Subterranean Press,"mystery fiction, horror fiction",N
Brother Cadfael's Penance,Edith Pargeter,1994-05-01T00:00:00Z,English,,mystery fiction,Y
The Bride Stripped Bare,Nikki Gemmell,2003-01-01T00:00:00Z,English,,erotica,N
The Golden Key,Kate Elliott,1996-01-01T00:00:00Z,English,DAW Books,fantasy,N
The Return,Katherine Applegate,2000-11-01T00:00:00Z,English,Scholastic Corporation,science fiction,Y
Mind Switch,Damon Knight,1965-01-01T00:00:00Z,English,Berkley Books,science fiction,N
Gulp: Adventures on the Alimentary Canal,Mary Roach,2013-04-01T00:00:00Z,English,W. W. Norton & Company,non-fiction,N
Escape from Mr. Lemoncello's Library,Chris Grabenstein,2013-06-25T00:00:00Z,English,Random House,children's novel,N
Fire Dreamer,Beth Webb,2007-01-01T00:00:00Z,English,Macmillan Publishers,"historical fiction, fantasy",N
Collar the Lot,Peter Gillman,1980-01-01T00:00:00Z,English,Naim Attallah,documentary film,N
The Hunting Hypothesis,Robert Ardrey,1976-01-01T00:00:00Z,English,,non-fiction,Y
My Friends Call Me Monster,R. L. Stine,2009-01-01T00:00:00Z,English,,horror fiction,Y
The Blithedale Romance,Nathaniel Hawthorne,1852-01-01T00:00:00Z,English,,"romantic fiction, fantasy",N
The King's Damosel,Vera Chapman,1976-01-01T00:00:00Z,English,Avon,"historical fiction, fantasy",N
Skinner's Round,Quintin Jardine,1995-01-01T00:00:00Z,English,Headline Publishing Group,crime fiction,N
Walk This Way: The Autobiography of Aerosmith,Stephen Davis,1997-10-01T00:00:00Z,English,HarperCollins,autobiography,N
The Hand of Glory,Sophie Masson,2002-07-01T00:00:00Z,English,Headline Publishing Group,historical fiction,N
Thrice Upon a Time,James Patrick Hogan,1980-03-01T00:00:00Z,English,Ballantine Books,"hard science fiction, science fiction",N
The Key to Midnight,Dean Koontz,1979-01-01T00:00:00Z,English,Berkley Books,"horror fiction, suspense",N
The Secret Servant,Gavin Lyall,1980-01-01T00:00:00Z,English,Hodder & Stoughton,"espionage novel, thriller",N
Z for Zachariah,Robert C. O'Brien,1974-01-01T00:00:00Z,English,Atheneum Books,"epistolary novel, science fiction",N
A Century of American Medicine,Theodore Gaillard Thomas,1876-01-01T00:00:00Z,English,Henry C. Lea,non-fiction,N
Significant Others,Armistead Maupin,1987-01-01T00:00:00Z,English,Harper,LGBT literature,Y
Bittersweet,Danielle Steel,1999-01-01T00:00:00Z,English,,romantic fiction,N
Through the Wheat,Thomas Alexander Boyd,1923-04-01T00:00:00Z,English,,"military fiction, historical fiction",N
The Film Encyclopedia. The Complete Guide to Film and the Film Industry. 7th Edition,Ephraim Katz,2012-01-01T00:00:00Z,English,HarperCollins,encyclopedia,N
With Women,David Vernon,2007-01-01T00:00:00Z,English,Australian College of Midwives,non-fiction,N
The Young Unicorns,Madeleine L'Engle,1968-01-01T00:00:00Z,English,"Farrar, Straus and Giroux","thriller, science fiction",N
I Love Bacon!,Jayne Rockmill,2010-10-01T00:00:00Z,English,Andrews McMeel Publishing,cookbook,N
Holy Deadlock,A. P. Herbert,1934-01-01T00:00:00Z,English,Methuen Publishing,polemic,N
The Dragon in the Sea,Frank Herbert,1956-01-01T00:00:00Z,English,Doubleday,thriller,N
The Planck Dive,Greg Egan,1998-02-01T00:00:00Z,English,,novelette,N
Jeremy Clarkson on Ferrari,Jeremy Clarkson,2000-03-01T00:00:00Z,English,,non-fiction,N
The Assassins: A Radical Sect in Islam,Bernard Lewis,1968-01-01T00:00:00Z,English,,historiography,N
Crucible of Resistance,Christos Laskos,2013-01-01T00:00:00Z,English,,non-fiction,N
The Scarecrow of Oz,L. Frank Baum,1915-01-01T00:00:00Z,English,Reilly & Britton,fantasy,Y
Paladin of Souls,Lois McMaster Bujold,2003-09-23T00:00:00Z,English,HarperCollins,fantasy novel,Y
Firing Point,Mike Maden,2020-06-09T00:00:00Z,English,G. P. Putnam's Sons,"techno-thriller, thriller",N
Brideshead Revisited,Evelyn Waugh,1945-01-01T00:00:00Z,English,Chapman and Hall London,religious literature,N
The Old Curiosity Shop,Charles Dickens,1840-01-01T00:00:00Z,English,Chapman and Hall London,social criticism,Y
Tom Clancy's Op-Center,Tom Clancy,1995-02-01T00:00:00Z,English,Berkley Books,thriller,Y
The Madagaskar Plan,Guy Saville,2015-07-16T00:00:00Z,English,Hodder & Stoughton,adventure fiction,N
Same-Sex Unions in Pre-Modern Europe,John Boswell,1994-01-01T00:00:00Z,English,,LGBT literature,N
The Wallet of Kai Lung,Ernest Bramah,1900-01-01T00:00:00Z,English,Grant Richards,fantasy,Y
The Root Cellar,Janet Lunn,1981-01-01T00:00:00Z,English,Lester & Orpen Dennys,"historical fiction, historical fantasy",N
Truth,Peter Temple,2009-11-01T00:00:00Z,English,Canongate Books,crime fiction,N
The Wellstone,Wil McCarthy,2003-03-04T00:00:00Z,English,,science fiction,Y
Heads You Die,Stephen Cole,2016-05-05T00:00:00Z,English,Random House,adventure fiction,N
My Son the Fanatic,Hanif Kureishi,1997-01-01T00:00:00Z,English,,novella,N
White Apples,Jonathan Carroll,2002-01-01T00:00:00Z,English,,science fiction,N
The Dark Man and Others,Robert E. Howard,1963-01-01T00:00:00Z,English,Arkham House,"horror literature, fantasy",N
Pilgrimage to Hell,Laurence James,1986-06-01T00:00:00Z,English,Harlequin Enterprises,post-apocalyptic fiction,Y
The Stand,Stephen King,1978-09-01T00:00:00Z,English,Doubleday,"horror fiction, post-apocalyptic fiction, dystopia, fantasy, science fiction",N
Emma in Winter,Penelope Farmer,1966-01-01T00:00:00Z,English,Chatto & Windus,fantasy,N
Cerberus: A Wolf in the Fold,Jack L. Chalker,1982-01-01T00:00:00Z,English,Del Rey Books,science fiction,N
The House at Satan's Elbow,John Dickson Carr,1965-01-01T00:00:00Z,English,Harper,crime fiction,Y
Plato and a Platypus Walk Into a Bar,Thomas Cathcart,2007-05-01T00:00:00Z,English,Penguin Group,comedy,N
The Killer,Colin Wilson,1970-05-01T00:00:00Z,English,New English Library,crime fiction,N
The Once and Future King,T. H. White,1958-01-01T00:00:00Z,English,"William Collins, Sons","fantasy novel, historical fiction, fantasy",N
Wintermind,Marvin Kaye,1982-01-01T00:00:00Z,English,Doubleday,science fiction,N
They Do It with Mirrors,Agatha Christie,1952-01-01T00:00:00Z,English,"Dodd, Mead & Co.","crime fiction, detective fiction",N
Deep Water,Laura Anne Gilman,2000-02-01T00:00:00Z,English,Pocket Books,horror fiction,Y
The Eleventh Hour,Graeme Base,1989-01-01T00:00:00Z,English,,cryptologic fiction,N
To Die in Mexico: Dispatches from Inside the Drug War,John Gibler,2011-01-01T00:00:00Z,English,,non-fiction,N
The Moneypenny Diaries: Final Fling,Samantha Weinberg,2008-05-01T00:00:00Z,English,John Murray,espionage novel,Y
Tender Morsels,Margo Lanagan,2008-01-01T00:00:00Z,English,Allen & Unwin,fantasy,N
Understanding Physics,Isaac Asimov,1966-01-01T00:00:00Z,English,Bloomsbury Publishing,non-fiction,N
Living Next Door to the God of Love,Justina Robson,2005-01-01T00:00:00Z,English,,science fiction,N
The Ruby Dice,Catherine Asaro,2009-01-01T00:00:00Z,English,Baen Books,science fiction,Y
Vacancy for the Post of Jesus Christ,Kojo Laing,1992-05-01T00:00:00Z,English,,science fiction,N
The Fun of It,Amelia Earhart,1933-01-01T00:00:00Z,English,Harcourt,memoir,N
Off Armageddon Reef,David Weber,2007-01-01T00:00:00Z,English,Tor Books,science fiction,N
The Immortal of World's End,Lin Carter,1976-01-01T00:00:00Z,English,DAW Books,fantasy,N
Sun of Suns,Karl Schroeder,2006-10-01T00:00:00Z,English,Tor Books,science fiction,N
Isaac Asimov Presents The Great SF Stories 14,Mark Clifton,1986-01-01T00:00:00Z,English,DAW Books,science fiction,Y
Belle Terre,Dean Wesley Smith,2000-06-01T00:00:00Z,English,Pocket Books,science fiction,Y
Death-Watch,John Dickson Carr,1935-01-01T00:00:00Z,English,,"mystery fiction, detective fiction",N
Llyfr Gweddi Gyffredin,Thomas Cranmer,1549-01-01T00:00:00Z,English,,essay,N
Insurgence,Ken MacLeod,2016-01-01T00:00:00Z,English,,science fiction,Y
Tunnel in the Sky,Robert A. Heinlein,1955-01-01T00:00:00Z,English,Charles Scribner's Sons,science fiction,Y
"The Theory of Vision, or Visual Language, shewing the immediate presence and providence of a Deity, vindicated and explained",George Berkeley,1733-01-01T00:00:00Z,English,,philosophy,N
Six-legged Soldiers: Using Insects as Weapons of War,Jeffrey A. Lockwood,2008-10-10T00:00:00Z,English,Oxford University Press,non-fiction,N
English,Jeremy Short,2009-08-01T00:00:00Z,English,Flat World Knowledge,graphic novel,N
The Otterbury Incident,Cecil Day-Lewis,1948-01-01T00:00:00Z,English,G. P. Putnam's Sons,children's novel,N
Dark River,Erin Hunter,2007-01-01T00:00:00Z,English,HarperCollins,fantasy literature,Y
Oral Literature in Africa,Ruth Finnegan,2012-09-01T00:00:00Z,English,Open Book Publishers,research,N
The Starry Rift,Alice Bradley Sheldon,1986-01-01T00:00:00Z,English,,science fiction,N
The Chapo Guide to Revolution,Matt Christman,2018-08-21T00:00:00Z,English,Simon & Schuster,political satire,N
Storm from the Shadows,David Weber,2009-01-01T00:00:00Z,English,,science fiction,Y
The Witch of the Mists,Lin Carter,1972-01-01T00:00:00Z,English,,sword and sorcery,N
Orson Scott Card's InterGalactic Medicine Show,Orson Scott Card,2008-01-01T00:00:00Z,English,Tor Books,"fantasy, science fiction",N
The Demoniacs,John Dickson Carr,1962-01-01T00:00:00Z,English,Harper,"mystery fiction, historical fiction, historical mystery, detective fiction",N
Trust the Saint,Leslie Charteris,1962-01-01T00:00:00Z,English,Hodder & Stoughton,mystery fiction,Y
See Delphi and Die,Lindsey Davis,2005-01-01T00:00:00Z,English,Random House,crime fiction,Y
The Split Second,John Hulme,2008-09-30T00:00:00Z,English,Bloomsbury Publishing,fantasy literature,Y
A Dream of Kings,Davis Grubb,1955-01-01T00:00:00Z,English,Charles Scribner's Sons,historical fiction,N
The Tenth Insight: Holding the Vision,James Redfield,1996-01-12T00:00:00Z,English,,thriller,N
Open Tennis: The First Twenty Years,Richard Evans,1988-01-01T00:00:00Z,English,Bloomsbury Publishing,historiography,N
Perelandra,C. S. Lewis,1943-01-01T00:00:00Z,English,The Bodley Head,science fiction,Y
The Sportswriter,Richard Ford,1986-03-01T00:00:00Z,English,Vintage Contemporaries,novel,N
The Happy Highwayman,Leslie Charteris,1939-01-01T00:00:00Z,English,Hodder & Stoughton,mystery fiction,Y
Harpist in the Wind,Patricia A. McKillip,1979-01-01T00:00:00Z,English,Atheneum Books,fantasy,N
Medicine as a Profession for Women,Emily Blackwell,1860-01-01T00:00:00Z,English,,non-fiction,N
The Magic of Oz,L. Frank Baum,1919-01-01T00:00:00Z,English,Reilly & Britton,fantasy,Y
Twitter Power,Joel Comm,2009-02-01T00:00:00Z,English,Wiley,non-fiction,N
More Money Than God,Sebastian Mallaby,2010-01-01T00:00:00Z,English,Penguin Group,non-fiction,N
Dead Space: Martyr,Brian Evenson,2010-07-01T00:00:00Z,English,Tor Books,"science fiction, horror literature",Y
Double in Space,Fletcher Pratt,1951-01-01T00:00:00Z,English,Doubleday,science fiction,N
The Cobweb,George Jewsbury,1996-01-01T00:00:00Z,English,Bantam Spectra,science fiction,N
The Howling II,Gary Brandner,1979-01-01T00:00:00Z,English,Hamlyn,horror fiction,Y
"Tom Swift and His Great Searchlight, or, On the Border For Uncle Sam",Victor Appleton,1912-01-01T00:00:00Z,English,Grosset & Dunlap,adventure fiction,Y
"Memoir of George McClellan, M. D.",William Darrach,1847-01-01T00:00:00Z,English,King & Baird,"non-fiction, memoir",N
At the Earth's Core,Edgar Rice Burroughs,1914-01-01T00:00:00Z,English,A. C. McClurg,"fantasy, adventure fiction, science fiction",Y
Barnacle Bill the Spacer,Lucius Shepard,1992-01-01T00:00:00Z,English,,"science fiction literature, novella, science fiction",N
"Look Homeward, Angel",Thomas Wolfe,1929-01-01T00:00:00Z,English,Charles Scribner's Sons,Bildungsroman,N
The English Gentleman,Douglas Sutherland,1978-06-01T00:00:00Z,English,Viking Press,satire,N
Bard's Oath,Joanne Bertin,2012-01-01T00:00:00Z,English,Tor Books,fantasy,N
Fatal Voyage,Kathy Reichs,2001-01-01T00:00:00Z,English,,crime fiction,N
The invaders,John Flanagan,2012-05-01T00:00:00Z,English,Random House,"adventure fiction, fantasy literature",Y
Peril,Bob Woodward,2021-09-21T00:00:00Z,English,,literary non-fiction,N
Indiana Jones and the Unicorn's Legacy,Rob MacGregor,1992-09-01T00:00:00Z,English,,adventure fiction,N
The Year's Best Fantasy Stories: 4,Lin Carter,1978-01-01T00:00:00Z,English,DAW Books,fantasy,Y
The Horns of Elfland,Ellen Kushner,1997-04-01T00:00:00Z,English,Roc Books,"fantasy, anthology",N
The Late Scholar,Jill Paton Walsh,2013-12-05T00:00:00Z,English,Hodder & Stoughton,detective fiction,N
The Wicked Day,Mary Stewart,1983-01-01T00:00:00Z,English,Ballantine Books,fantasy,Y
A Railroad Journey,Constance Albuera Saunderson,1859-10-08T00:00:00Z,English,,ghost story,N
The Cleanest Race,Brian Reynolds Myers,2010-01-01T00:00:00Z,English,,non-fiction,N
"Fire, Burn!",John Dickson Carr,1957-01-01T00:00:00Z,English,Harper,"mystery fiction, historical fiction, historical mystery",N
American Psycho,Bret Easton Ellis,1991-03-06T00:00:00Z,English,,"existentialist novel, transgressive fiction, thriller",N
Categories for the Working Mathematician,Saunders Mac Lane,1971-01-01T00:00:00Z,English,Springer Science+Business Media,monograph,Y
Starlight,Erin Hunter,2006-04-04T00:00:00Z,English,HarperCollins,fantasy,Y
The Highwayman,R. A. Salvatore,2004-01-01T00:00:00Z,English,,fantasy,N
The Broken Shore,Peter Temple,2005-01-01T00:00:00Z,English,Canongate Books,crime fiction,N
Dictionnaire de la technologie des corps gras,Institut technique d'études et de recherches des corps gras,1971-01-01T00:00:00Z,English,,dictionary,N
SOS the Rope,Piers Anthony,1968-01-01T00:00:00Z,English,,science fiction,N
The Sons of Heaven,Kage Baker,2007-07-01T00:00:00Z,English,Tor Books,science fiction,Y
Operation Destruct,Christopher Nicole,1969-01-01T00:00:00Z,English,Holt McDougal,espionage novel,N
Act of Providence,Joseph Payne Brennan,1979-01-01T00:00:00Z,English,"Donald M. Grant, Publisher","horror fiction, mystery fiction",N
The Foundling and Other Tales of Prydain,Lloyd Alexander,1999-05-01T00:00:00Z,English,Henry Holt and Company,"fairy tale, high fantasy",Y
The Carnelian Cube,Fletcher Pratt,1948-01-01T00:00:00Z,English,Gnome Press,fantasy,N
Collected Poems,H. P. Lovecraft,1963-01-01T00:00:00Z,English,Arkham House,poetry,N
The Exeter Blitz,David Rees,1978-01-01T00:00:00Z,English,Hamish Hamilton,"military fiction, children's novel, historical fiction",N
Clade,Mark Budz,2003-12-02T00:00:00Z,English,Bantam Spectra,science fiction,N
The Two Georges,Harry Turtledove,1996-03-01T00:00:00Z,English,Hodder & Stoughton,science fiction,N
Pleading Guilty,Scott Turow,1993-01-01T00:00:00Z,English,"Farrar, Straus and Giroux","crime fiction, thriller",N
"The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves",Matthew Tobin Anderson,2008-10-14T00:00:00Z,English,Candlewick Press,historical fiction,N
Sten Adventures Book 3: The Court of a Thousand Suns,Allan Cole,1985-01-01T00:00:00Z,English,Orbit Books,science fiction,Y
For a Living,Nicholas Coles,1995-09-01T00:00:00Z,English,University of Illinois Press,poetry,N
Deep Storm,Lincoln Child,2007-01-01T00:00:00Z,English,Doubleday,"thriller, science fiction",N
The Generals,Simon Scarrow,2007-05-31T00:00:00Z,English,Headline Publishing Group,historical fiction,Y
Doctor to the Barrios,Juan Flavier,1970-01-01T00:00:00Z,English,,non-fiction,N
The House of Morgan,Ron Chernow,1990-01-01T00:00:00Z,English,,non-fiction,N
Destination Unknown,Agatha Christie,1954-11-01T00:00:00Z,English,Collins Crime Club,"crime fiction, espionage novel",N
Engage!,Brian Solis,2010-03-08T00:00:00Z,English,Wiley,non-fiction,N
The Wizard and the Witch,Jean Ure,1995-01-01T00:00:00Z,English,Candlewick Press,fantasy,N
Growing Up Straight,George Alan Rekers,1982-01-01T00:00:00Z,English,Moody Publishers,LGBT literature,N
A Question of Guilt,Carolyn Keene,1996-03-01T00:00:00Z,English,Simon & Schuster,fictional crossover,N
Without Warning,John Birmingham,2008-01-01T00:00:00Z,English,Macmillan Publishers,science fiction,N
The Killing Star,George Zebrowski,1995-01-01T00:00:00Z,English,William Morrow and Company,science fiction,N
"Tomorrow, the Stars",Robert A. Heinlein,1952-01-01T00:00:00Z,English,Doubleday,science fiction,N
To Wake the Dead,John Dickson Carr,1938-01-01T00:00:00Z,English,Hamish Hamilton,crime fiction,Y
The Night of Wenceslas,Lionel Davidson,1960-01-01T00:00:00Z,English,Victor Gollancz Ltd,crime fiction,N
Listening Woman,Tony Hillerman,1978-01-01T00:00:00Z,English,,mystery fiction,Y
Bungalow 2,Danielle Steel,2007-06-01T00:00:00Z,English,Random House,romantic fiction,N
The Robert E. Howard Reader,Darrell Schweitzer,2010-01-01T00:00:00Z,English,Wildside Press,essay,N
Listening Woman,Tony Hillerman,1978-01-01T00:00:00Z,English,,crime fiction,N
Mr. Monster,Dan Wells,2010-01-01T00:00:00Z,English,Tor Books,"thriller, horror fiction",Y
The Crystal Cave,Mary Stewart,1970-01-01T00:00:00Z,English,William Morrow and Company,"fantasy, historical fiction",Y
Key of Stars,Bruce Cordell,2010-09-01T00:00:00Z,English,Wizards of the Coast,fantasy literature,N
Ramose and the Tomb Robbers,Carole Wilkinson,2003-01-01T00:00:00Z,English,,historical fiction,N
What Every Body Is Saying,Marvin Karlins,2008-04-15T00:00:00Z,English,,non-fiction,N
Silent Interviews,Samuel R. Delany,1995-01-01T00:00:00Z,English,Wesleyan University Press,non-fiction,N
When China Rules the World: The End of the Western World and the Birth of a New Global Order,Martin Jacques,2009-06-01T00:00:00Z,English,,non-fiction,N
The Great Roxhythe,Georgette Heyer,1923-01-01T00:00:00Z,English,"Small, Maynard & Company",historical fiction,N
The Chapo Guide to Revolution,Will Menaker,2018-08-21T00:00:00Z,English,Simon & Schuster,political satire,N
The Windup Girl,Paolo Bacigalupi,2009-09-01T00:00:00Z,English,Night Shade Books,"biopunk novel, climate fiction, dystopia, science fiction",N
Charity Girl,Georgette Heyer,1970-01-01T00:00:00Z,English,The Bodley Head,Regency era,N
Flag in Exile,David Weber,1995-01-01T00:00:00Z,English,Baen Books,science fiction,Y
Endymion,Dan Simmons,1995-01-01T00:00:00Z,English,Headline Publishing Group,science fiction,Y
Coming of Age in Samoa,Margaret Mead,1928-01-01T00:00:00Z,English,William Morrow and Company,"culture of Samoa, ethnography",N
"La Fourchette, la Sorcière et le Dragon",Christopher Paolini,2018-12-31T00:00:00Z,English,Bayard Presse,fantasy literature,Y
